news_id	key_word	start_date	end_date	news_author
350563	LOCKHEED MARTIN	2014/4/22 0:00	2014/4/25 0:00	Doug Cameron
153921	HALLIBURTON CO	2014/7/21 0:00	2014/7/24 0:00	Erin McCarthy
386813	PFIZER	2015/1/27 0:00	2015/1/30 0:00	"Angela Chen, Lauren Pollock"
265181	PACKAGING	2016/1/25 0:00	2016/1/28 0:00	Paul Ziobro
349152	S & T	2016/1/26 0:00	2016/1/29 0:00	Chelsey Dulaney
308157	FINANCIAL ENGINE	2016/11/3 0:00	2016/11/6 0:00	Maria Armental
363852	AMERICAN WATER	2016/8/3 0:00	2016/8/6 0:00	Rhiannon Hoyle
265457	MERCK & CO	2014/4/29 0:00	2014/5/2 0:00	Tess Stynes
376370	TUPPERWARE BRANDS	2014/4/23 0:00	2014/4/26 0:00	Michael Calia
238258	CARDIOVASCULAR S	2016/8/3 0:00	2016/8/6 0:00	Austen Hufford
289755	S & T IN	2014/7/29 0:00	2014/8/1 0:00	"Anna Wilde Mathews, Michael Calia"
183684	CUMMINS	2015/10/27 0:00	2015/10/30 0:00	"Bob Tita, Lisa Beilfuss"
328435	ABBVIE	2015/4/23 0:00	2015/4/26 0:00	Peter Loftus
265322	KROGER	2014/12/4 0:00	2014/12/7 0:00	Tess Stynes
399780	EXPEDIA	2016/10/27 0:00	2016/10/30 0:00	Josh Beckerman
407331	NAVISTAR INTERNATIONAL	2014/3/5 0:00	2014/3/8 0:00	Tess Stynes
398857	TIME	2015/8/4 0:00	2015/8/7 0:00	"Joe Flint, Tess Stynes"
285749	SOUTHWEST	2016/4/21 0:00	2016/4/24 0:00	Susan Carey
91592	STATE STREET	2016/10/26 0:00	2016/10/29 0:00	Ezequiel Minaya
344606	BIOGEN	2014/4/23 0:00	2014/4/26 0:00	Erin McCarthy
338842	POST	2013/2/7 0:00	2013/2/10 0:00	Mimosa Spencer
256519	PEPSICO	2015/4/23 0:00	2015/4/26 0:00	Mike Esterl
265423	FIRST FINANCIAL	2015/1/22 0:00	2015/1/25 0:00	"Betsy Morris, Laura Stevens"
380279	AT&T	2013/7/23 0:00	2013/7/26 0:00	John Revill
183023	ALTRIA GROUP	2017/2/1 0:00	2017/2/4 0:00	"Jennifer Maloney, Joshua Jamerson"
237778	AT&T	2018/1/31 0:00	2018/2/3 0:00	Paul Ziobro
184217	EXELON	2015/2/13 0:00	2015/2/16 0:00	Angela Chen
413648	LILLY ELI	2013/10/23 0:00	2013/10/26 0:00	Nathalie Tadena
123387	UNITED STATES STEEL	2016/7/26 0:00	2016/7/29 0:00	Tess Stynes
326018	NEW YORK TIMES	2014/10/30 0:00	2014/11/2 0:00	"Lukas I. Alpert, Tess Stynes"
332467	CUMMINS	2016/5/3 0:00	2016/5/6 0:00	Joshua Jamerson
246446	CABLE ONE	2015/11/4 0:00	2015/11/7 0:00	Chelsey Dulaney
398820	AMERISOURCEBERGEN	2014/7/24 0:00	2014/7/27 0:00	Erin McCarthy
265555	CONAGRA BRANDS	2013/9/19 0:00	2013/9/22 0:00	Nathalie Tadena
265568	SIX FLAGS ENTERTAINMENT	2016/2/18 0:00	2016/2/21 0:00	Anne Steele
265571	DEAN FOODS CO	2015/8/10 0:00	2015/8/13 0:00	"Chelsey Dulaney, Ilan Brat"
413303	INTERNATIONAL FLAVORS	2016/11/7 0:00	2016/11/10 0:00	Maria Armental
268637	REYNOLDS AMERICAN	2013/4/23 0:00	2013/4/26 0:00	"John Kell, Mike Esterl"
399408	AT&T	2014/10/22 0:00	2014/10/25 0:00	"Bob Tita, James R. Hagerty"
276548	HUB GROUP.	2013/4/18 0:00	2013/4/21 0:00	Susan Carey
218786	STATE STREET	2016/10/26 0:00	2016/10/29 0:00	"Doug Cameron, Mike Esterl"
222598	S & T	2015/1/27 0:00	2015/1/30 0:00	Tess Stynes
326688	GENUINE PARTS	2016/7/19 0:00	2016/7/22 0:00	Tess Stynes
264480	KATE SPADE  CO	2015/5/7 0:00	2015/5/10 0:00	Chelsey Dulaney
265732	AT&T	2017/7/25 0:00	2017/7/28 0:00	Susan Carey
100882	BRUNSWICK	2016/4/28 0:00	2016/5/1 0:00	Judy McKinnon
271017	SOUTHWEST AIRLINES	2015/4/23 0:00	2015/4/26 0:00	Susan Carey
265761	UNIT	2016/8/4 0:00	2016/8/7 0:00	Austen Hufford
353975	CHEVRON	2014/5/2 0:00	2014/5/5 0:00	Michael Calia
81564	RANGE RESOURCES	2015/10/28 0:00	2015/10/31 0:00	Chelsey Dulaney
308416	AT&T	2015/1/27 0:00	2015/1/30 0:00	Paul Ziobro
123874	ONE GAS	2016/8/1 0:00	2016/8/4 0:00	Josh Beckerman
88433	GAP	2014/8/21 0:00	2014/8/24 0:00	Anna Prior
102122	CHEVRON	2015/5/1 0:00	2015/5/4 0:00	"Chelsey Dulaney, Daniel Gilbert"
157384	US	2013/7/17 0:00	2013/7/20 0:00	Melodie Warner
276988	BOEING	2016/1/27 0:00	2016/1/30 0:00	Anne Steele
397206	WHIRLPOOL	2014/7/23 0:00	2014/7/26 0:00	James R. Hagerty
323667	SIRIUS XM	2014/4/24 0:00	2014/4/27 0:00	Michael Calia
393412	BIG 5	2016/3/1 0:00	2016/3/4 0:00	Lisa Beilfuss
235964	MICROSOFT	2013/1/24 0:00	2013/1/27 0:00	Sven Grundberg
222590	THE BANK OF NEW	2014/1/17 0:00	2014/1/20 0:00	"Andrew R. Johnson, Everdeen Mason"
306868	COSTCO WHOLESALE	2016/3/2 0:00	2016/3/5 0:00	Annie Gasparro
164735	S&P GLOBAL	2017/2/7 0:00	2017/2/10 0:00	Ezequiel Minaya
102286	BIG 5 SPORTING GOODS	2013/10/29 0:00	2013/11/1 0:00	Yoshio Takahashi
380817	POST	2013/8/7 0:00	2013/8/10 0:00	Robb M. Stewart
338373	UNITED ONLINE	2014/11/4 0:00	2014/11/7 0:00	Judy McKinnon
345665	CONSTELLATION BRANDS	2016/6/30 0:00	2016/7/3 0:00	Austen Hufford
266054	APPLE	2016/7/26 0:00	2016/7/29 0:00	Lisa Beilfuss
105156	S & T IN	2014/1/28 0:00	2014/1/31 0:00	John Revill
329083	AMERICAN FINANCIAL GROUP	2016/8/2 0:00	2016/8/5 0:00	Ben Dummett
266072	WESTERN UNION CO	2015/10/29 0:00	2015/11/1 0:00	"Chelsea Dulaney, Chelsey Dulaney"
176843	CORNING.	2013/10/30 0:00	2013/11/2 0:00	Tess Stynes
306062	CUSTOMERS	2015/4/28 0:00	2015/5/1 0:00	Lisa Beilfuss
305958	S & T IN	2014/10/28 0:00	2014/10/31 0:00	Angela Chen
268662	VORNADO REALTY TRUST	2016/5/2 0:00	2016/5/5 0:00	Maria Armental
331488	TOTAL SYSTEM SERVICES	2013/7/23 0:00	2013/7/26 0:00	"Annie Gasparro, Ben Fox Rubin"
215763	UNITEDHEALTH GROUP	2018/4/17 0:00	2018/4/20 0:00	Allison Prang
143345	STARBUCKS	2015/4/23 0:00	2015/4/26 0:00	Ilan Brat
249410	CONSOLIDATED COM	2015/2/26 0:00	2015/3/1 0:00	Amy Guthrie
366142	S & T	2014/10/28 0:00	2014/10/31 0:00	Tess Stynes
252131	WENDYS CO	2015/5/6 0:00	2015/5/9 0:00	Chelsey Dulaney
332808	S & T IN	2015/4/21 0:00	2015/4/24 0:00	Lisa Beilfuss
266230	CAESARS ENTERTAINMENT	2015/5/6 0:00	2015/5/9 0:00	Tess Stynes
287968	PHILIP MORRIS IN	2015/4/16 0:00	2015/4/19 0:00	Angela Chen
105388	FREEPORT-MCMORAN	2015/7/23 0:00	2015/7/26 0:00	"John W. Miller, Tess Stynes"
315101	AT&T	2015/1/27 0:00	2015/1/30 0:00	Maria Armental
80520	ANADARKO PETROLEUM	2014/2/3 0:00	2014/2/6 0:00	Tess Stynes
